,Custom CNN,MobileNetV2,ResNet-50,EfficientNetB0,mean_f1
steak,0.28893058161350843,0.3490566037735849,0.42722117202268434,0.5139186295503212,0.39478174674002475
pork_chop,0.29357798165137616,0.41007194244604317,0.4781021897810219,0.5490981963927856,0.4327125775678067
apple_pie,0.3620309050772627,0.3923444976076555,0.4925053533190578,0.5250501002004008,0.44298271405109424
foie_gras,0.3684210526315789,0.4271356783919598,0.47126436781609193,0.5523012552301255,0.4547805885174391
ravioli,0.36947791164658633,0.43765903307888043,0.5028571428571429,0.5483870967741935,0.4645952960892008
chocolate_mousse,0.3261943986820428,0.4484629294755877,0.516504854368932,0.5992217898832685,0.4725959931024578
bread_pudding,0.39783001808318263,0.43916083916083914,0.5099457504520796,0.5772058823529411,0.4810356225122606
filet_mignon,0.3829113924050633,0.4826254826254826,0.5403377110694184,0.6011787819253438,0.501763342006327
huevos_rancheros,0.4205607476635514,0.5364806866952789,0.5607064017660044,0.5818181818181818,0.5248915044857541
ceviche,0.5231481481481481,0.47337278106508873,0.5211581291759465,0.5942350332594235,0.5279785229121517
