,Custom CNN,MobileNetV2,ResNet-50,EfficientNetB0,mean_f1
steak,0.28893058161350843,0.3490566037735849,0.42722117202268434,0.5139186295503212,0.39478174674002475
pork_chop,0.29357798165137616,0.41007194244604317,0.4781021897810219,0.5490981963927856,0.4327125775678067
apple_pie,0.3620309050772627,0.3923444976076555,0.4925053533190578,0.5250501002004008,0.44298271405109424
foie_gras,0.3684210526315789,0.4271356783919598,0.47126436781609193,0.5523012552301255,0.4547805885174391
ravioli,0.36947791164658633,0.43765903307888043,0.5028571428571429,0.5483870967741935,0.4645952960892008
chocolate_mousse,0.3261943986820428,0.4484629294755877,0.516504854368932,0.5992217898832685,0.4725959931024578
bread_pudding,0.39783001808318263,0.43916083916083914,0.5099457504520796,0.5772058823529411,0.4810356225122606
filet_mignon,0.3829113924050633,0.4826254826254826,0.5403377110694184,0.6011787819253438,0.501763342006327
huevos_rancheros,0.4205607476635514,0.5364806866952789,0.5607064017660044,0.5818181818181818,0.5248915044857541
ceviche,0.5231481481481481,0.47337278106508873,0.5211581291759465,0.5942350332594235,0.5279785229121517
tuna_tartare,0.4772727272727273,0.5017543859649123,0.5377176015473888,0.6382978723404256,0.5387606467813635
scallops,0.5018587360594795,0.5191956124314442,0.5570175438596491,0.591792656587473,0.5424661372345114
grilled_salmon,0.4057971014492754,0.5196078431372549,0.6178489702517163,0.6434782608695652,0.5466830439269529
breakfast_burrito,0.23003194888178913,0.5834797891036907,0.6652806652806653,0.7203219315895373,0.5497785837139206
omelette,0.4543524416135881,0.4855769230769231,0.6275395033860045,0.6666666666666666,0.5585338836857956
crab_cakes,0.4732824427480916,0.5207100591715976,0.5986984815618221,0.680327868852459,0.5682547130834926
cheesecake,0.49295774647887325,0.5508982035928144,0.5925925925925926,0.6378600823045267,0.5685771562422017
gnocchi,0.49148418491484186,0.5340501792114696,0.6144814090019569,0.6475409836065574,0.5718891891837065
shrimp_and_grits,0.5098039215686274,0.5103448275862069,0.5980582524271845,0.6714285714285714,0.5724088932526475
grilled_cheese_sandwich,0.49906890130353815,0.5810276679841897,0.5829596412556054,0.6571428571428571,0.5800497669215475
beet_salad,0.5970772442588727,0.5061224489795918,0.5900383141762452,0.629399585921325,0.5806593983340087
hummus,0.45474613686534215,0.5233160621761658,0.6666666666666666,0.6893617021276596,0.5835226419589585
tacos,0.5099778270509978,0.48725212464589235,0.6371308016877637,0.7008196721311475,0.5837951063789504
bruschetta,0.5388349514563107,0.5726681127982647,0.5753424657534246,0.6666666666666666,0.5883780491686667
chicken_curry,0.49907578558225507,0.5745614035087719,0.6524271844660194,0.6883910386965377,0.6036138530633961
chocolate_cake,0.45584045584045585,0.6141078838174274,0.6169491525423729,0.728,0.6037243730500641
risotto,0.5673758865248227,0.5699481865284974,0.6159695817490495,0.6704119850187266,0.6059264099552741
panna_cotta,0.4910891089108911,0.6012526096033403,0.6420664206642066,0.6942800788954635,0.6071720545184753
lasagna,0.4956521739130435,0.6098807495741057,0.6552462526766595,0.6833333333333333,0.6110281273742855
french_toast,0.4977238239757208,0.6078028747433265,0.6666666666666666,0.704119850187266,0.6190783038932449
ice_cream,0.3741648106904232,0.6680244399185336,0.7178423236514523,0.7351778656126482,0.6238023599682643
tiramisu,0.5966228893058161,0.5905797101449275,0.6744186046511628,0.7364341085271318,0.6495138281572596
nachos,0.4950980392156863,0.6756756756756757,0.675,0.7529411764705882,0.6496787228404876
beef_tartare,0.6003976143141153,0.6411483253588517,0.6740576496674058,0.7058823529411765,0.6553714855703873
garlic_bread,0.5925925925925926,0.6214285714285714,0.7051546391752578,0.7153846153846154,0.6586401046452593
falafel,0.6031746031746031,0.6508620689655172,0.6884531590413944,0.7276785714285714,0.6675421006525215
samosa,0.5013054830287206,0.7087198515769945,0.7142857142857143,0.7495145631067961,0.6684564029995563
pulled_pork_sandwich,0.561122244488978,0.644,0.7077534791252486,0.7619047619047619,0.6686951213797471
prime_rib,0.5267379679144385,0.6762360446570973,0.7553816046966731,0.7588652482269503,0.6793052163737898
caprese_salad,0.6956521739130435,0.6307977736549165,0.7029126213592233,0.7466666666666667,0.6940073088984624
macaroni_and_cheese,0.6122448979591837,0.680327868852459,0.7341772151898734,0.7686116700201208,0.6988404130054092
hamburger,0.5493230174081238,0.702928870292887,0.7590618336886994,0.8,0.7028284303474275
baby_back_ribs,0.5909980430528375,0.7154150197628458,0.7372134038800705,0.7689320388349514,0.7031396263826764
cheese_plate,0.5368620037807184,0.7043478260869566,0.7655913978494624,0.8130081300813008,0.7049523394496096
carrot_cake,0.6471734892787524,0.6611226611226612,0.7590618336886994,0.7689161554192229,0.7090685348773339
strawberry_shortcake,0.6640776699029126,0.6971428571428572,0.7129455909943715,0.7758284600389863,0.7124986445197818
cannoli,0.5194805194805194,0.7547169811320755,0.7813163481953291,0.8252631578947368,0.7201942516756652
chicken_quesadilla,0.6454545454545455,0.7025862068965517,0.7427293064876958,0.796078431372549,0.7217121225528355
donuts,0.5342465753424658,0.7364185110663984,0.8,0.8194174757281554,0.7225206405342548
greek_salad,0.7231404958677686,0.67779632721202,0.73828125,0.7631578947368421,0.7255939919541576
peking_duck,0.6431718061674009,0.711864406779661,0.753731343283582,0.796078431372549,0.7262114969007982
spring_rolls,0.6231884057971014,0.7157464212678937,0.7625,0.8108108108108109,0.7280614094689516
pancakes,0.6969072164948453,0.6817248459958932,0.7463768115942029,0.8032128514056225,0.7320554313726411
fried_calamari,0.6517857142857143,0.7090909090909091,0.7613168724279835,0.8123711340206186,0.7336411574563064
baklava,0.6625514403292181,0.7210144927536232,0.7504621072088724,0.8007662835249042,0.7336985809541545
ramen,0.65,0.7170542635658915,0.7740667976424361,0.8007518796992481,0.735468235226894
paella,0.6724511930585684,0.7393162393162394,0.7583333333333333,0.7775377969762419,0.7369096406710958
gyoza,0.7054409005628518,0.6912621359223301,0.7733887733887734,0.8015564202334631,0.7429120575268546
sushi,0.7577092511013216,0.6991150442477876,0.7399577167019028,0.8034557235421166,0.7500594338982821
french_onion_soup,0.6139359698681732,0.7864271457085829,0.789272030651341,0.8127490039840638,0.7505960375530403
waffles,0.6591422121896162,0.7590361445783133,0.7840670859538784,0.826722338204593,0.7572419452316003
club_sandwich,0.6969147005444646,0.7301587301587301,0.7898832684824902,0.8228105906313645,0.7599418224542625
fish_and_chips,0.6831275720164609,0.7446393762183235,0.8007889546351085,0.8180039138943248,0.7616399541910545
caesar_salad,0.7171171171171171,0.7286527514231499,0.7846715328467153,0.8203125,0.7626884753467456
lobster_bisque,0.6751188589540412,0.7537878787878788,0.8169014084507042,0.821917808219178,0.7669314886029506
chicken_wings,0.6798245614035088,0.7574626865671642,0.7920792079207921,0.8408644400785854,0.7675577239925125
fried_rice,0.7600849256900213,0.7381443298969073,0.7844036697247706,0.7876106194690266,0.7675608861951815
beef_carpaccio,0.796,0.7413441955193483,0.7546468401486989,0.7865612648221344,0.7696380751225453
takoyaki,0.6970387243735763,0.7418655097613883,0.8045540796963947,0.859504132231405,0.7757406115156911
hot_dog,0.5882352941176471,0.8217391304347826,0.8610567514677103,0.8372093023255814,0.7770601195864304
croque_madame,0.6917293233082706,0.7640918580375783,0.8154158215010142,0.8408644400785854,0.7780253607313621
cup_cakes,0.6019417475728155,0.8106995884773662,0.8518518518518519,0.864,0.7821232969755083
beignets,0.7287784679089027,0.7604166666666666,0.8202247191011236,0.825925925925926,0.7838364449006547
lobster_roll_sandwich,0.7293064876957495,0.7659574468085106,0.8384279475982532,0.8316430020283976,0.7913337210327278
eggs_benedict,0.7145557655954632,0.7942973523421588,0.7984189723320159,0.8622754491017964,0.7923868848428587
poutine,0.7393162393162394,0.7949790794979079,0.8139059304703476,0.83203125,0.7950581248211237
pad_thai,0.6885245901639344,0.8045540796963947,0.8405253283302064,0.8566037735849057,0.7975519429438603
churros,0.6690647482014388,0.8266129032258065,0.8397565922920892,0.8612836438923396,0.7991794719029185
creme_brulee,0.6943521594684385,0.8,0.8520710059171598,0.8549019607843137,0.800331281542478
escargots,0.6839622641509434,0.8230277185501066,0.8380566801619433,0.8614072494669509,0.8016134780824861
clam_chowder,0.7145969498910676,0.8180039138943248,0.8356435643564356,0.85546875,0.805928294535457
onion_rings,0.649895178197065,0.8433268858800773,0.8538011695906432,0.891566265060241,0.8096473746820066
pizza,0.7013574660633484,0.8253968253968254,0.8612244897959184,0.8730769230769231,0.8152639260832538
red_velvet_cake,0.805668016194332,0.7922330097087379,0.824,0.8502994011976048,0.8180501067751687
french_fries,0.7330827067669173,0.8153846153846154,0.8582089552238806,0.8695652173913043,0.8190603736916794
spaghetti_bolognese,0.7865168539325843,0.7772727272727272,0.8535564853556485,0.8803245436105477,0.8244176525428769
deviled_eggs,0.8031189083820662,0.7892561983471075,0.8523206751054853,0.8833333333333333,0.832007278791998
spaghetti_carbonara,0.7358184764991896,0.8481262327416174,0.883629191321499,0.9007936507936508,0.8420918878389891
sashimi,0.8135593220338984,0.8239845261121856,0.8621359223300971,0.8936170212765957,0.8483241979381941
frozen_yogurt,0.7838983050847458,0.8388429752066116,0.8818897637795275,0.8933601609657947,0.8494978012591698
bibimbap,0.7624521072796935,0.858252427184466,0.896551724137931,0.8901960784313725,0.8518630842583658
guacamole,0.7797356828193832,0.8521400778210116,0.8857715430861723,0.8962818003913894,0.8534822760294891
mussels,0.7644444444444445,0.8789808917197452,0.8884381338742393,0.9090909090909091,0.8602385947823346
dumplings,0.8356997971602435,0.8502994011976048,0.875,0.8946322067594433,0.8639078512793229
seaweed_salad,0.8455598455598455,0.8618556701030928,0.892,0.8950495049504951,0.8736162551533583
miso_soup,0.8658008658008658,0.825925925925926,0.8966861598440545,0.9109311740890689,0.8748360314149788
pho,0.8682170542635659,0.8541666666666666,0.9098196392785571,0.8987854251012146,0.8827471963275011
oysters,0.8602620087336245,0.8771929824561403,0.8893280632411067,0.932,0.8896957636077178
hot_and_sour_soup,0.8747433264887063,0.8668076109936576,0.9,0.9230769230769231,0.8911569651398217
macarons,0.8277153558052435,0.9057377049180327,0.9402390438247012,0.9531568228105907,0.906712231839642
edamame,0.9742574257425742,0.9628180039138943,0.9820359281437125,0.9880478087649402,0.9767897916412803
