epoch,accuracy,loss,top_5_accuracy,val_accuracy,val_loss,val_top_5_accuracy,learning_rate
0,0.4319618642330169,2.332273244857788,0.7025156021118164,0.5177557468414307,1.9106732606887815,0.7874587178230286,0.0010000000474974
1,0.523769736289978,1.904951810836792,0.7869306802749634,0.5442904233932495,1.8282334804534912,0.8025082349777222,0.0010000000474974
2,0.5416648387908936,1.8260598182678225,0.8006160855293274,0.5526072382926941,1.8013721704483032,0.808448851108551,0.0010000000474974
3,0.5485588312149048,1.7860027551651,0.810326337814331,0.5615841746330261,1.790377140045166,0.810429036617279,0.0010000000474974
4,0.5564796328544617,1.749306321144104,0.8158268928527832,0.5539274215698242,1.8125474452972408,0.8075247406959534,0.0010000000474974
5,0.5570957064628601,1.7427746057510376,0.8184818625450134,0.5460066199302673,1.8784568309783936,0.8055445551872253,0.0010000000474974
6,0.5966116786003113,1.5590368509292605,0.8423908948898315,0.569240927696228,1.724819898605347,0.8213861584663391,0.0002000000094994
7,0.5998973250389099,1.5303188562393188,0.8477447628974915,0.5700330138206482,1.7169264554977417,0.8240264058113098,0.0002000000094994
8,0.6374,1.4449,0.8529,0.5887,1.6641,0.8298,1e-05
9,0.6396,1.3497,0.8728,0.6016,1.5739,0.8424,1e-05
10,0.6571,1.2832,0.8818,0.6104,1.5383,0.8506,1e-05
11,0.6695,1.2235,0.8895,0.6168,1.5406,0.8473,1e-05
12,0.68,1.1798,0.896,0.6232,1.5208,0.8535,1e-05
13,0.6927,1.126,0.9034,0.628,1.4772,0.8601,1e-05
14,0.7008,1.0928,0.9085,0.6337,1.4628,0.8569,1e-05
15,0.7069,1.0706,0.9108,0.638,1.4385,0.861,1e-05
16,0.7188,1.0231,0.918,0.6367,1.4588,0.8636,1e-05
17,0.7268,0.9909,0.921,0.6473,1.4128,0.8662,1e-05
18,0.7357,0.957,0.9261,0.6387,1.4514,0.8652,1e-05
19,0.7403,0.9325,0.929,0.6441,1.4128,0.8664,1e-05
