epoch,accuracy,learning_rate,loss,top_5_accuracy,val_accuracy,val_loss,val_top_5_accuracy
0,0.4349,0.0010,2.5164,0.6997,0.5682,1.8981,0.8133
1,0.5311,0.0010,1.9960,0.7874,0.5896,1.7881,0.8302
2,0.5549,0.0010,1.8581,0.8099,0.5978,1.7526,0.8368
3,0.5683,0.0010,1.7862,0.8189,0.5980,1.7189,0.8396
4,0.5798,0.0010,1.7385,0.8291,0.6040,1.6925,0.8426
5,0.5838,0.0010,1.7164,0.8335,0.6131,1.6720,0.8465
6,0.6369,0.00001,1.4878,0.8656,0.6411,1.5594,0.8610
7,0.6659,0.00001,1.3676,0.8830,0.6568,1.5060,0.8692
8,0.6809,0.00001,1.2957,0.8927,0.6617,1.4826,0.8723
9,0.6998,0.00001,1.2246,0.9030,0.6688,1.4521,0.8745
10,0.7149,0.00001,1.1532,0.9120,0.6710,1.4277,0.8768
11,0.7325,0.00001,1.0855,0.9208,0.6722,1.4173,0.8807
12,0.7386,0.00001,1.0576,0.9249,0.6779,1.4130,0.8792
13,0.7537,0.00001,0.9943,0.9337,0.6763,1.3972,0.8834
14,0.7658,0.00001,0.9544,0.9387,0.6803,1.3857,0.8824
15,0.7769,0.00001,0.9014,0.9454,0.6833,1.4019,0.8836
16,0.7886,0.00001,0.8539,0.9503,0.6842,1.4007,0.8844
17,0.8011,0.00001,0.8126,0.9556,0.6871,1.4038,0.8853
18,0.8217,0.000002,0.7374,0.9624,0.6898,1.3788,0.8841
19,0.8253,0.000002,0.7256,0.9643,0.6947,1.3744,0.8865
